1	7	10	900
2	1	7	170
3	3	6	650
4	6	6	150
5	1	8	170
6	4	7	740
7	7	3	450
8	5	2	180
9	2	6	170
10	3	4	80
11	3	8	740
12	7	6	530
13	7	4	640
14	4	5	550
15	5	6	450
16	7	9	900
17	2	1	290
18	1	5	780
19	7	10	900
20	7	2	840
21	7	4	60
22	4	4	460
23	3	7	450
24	3	9	450
25	2	1	680
26	5	10	420
27	1	6	570
28	4	2	380
29	4	8	630
30	4	10	910
31	3	5	660
32	1	1	880
33	4	4	70
34	4	4	460
35	6	4	930
36	6	9	700
37	5	9	140
38	5	8	240
39	1	3	390
40	7	5	450
41	4	5	650
42	2	5	860
43	3	10	830
44	7	4	550
45	6	1	180
46	5	7	440
47	7	6	910
48	3	5	270
49	4	3	270
50	6	9	800
51	3	10	830
52	3	7	750
53	7	4	450
54	2	2	580
55	5	9	610
56	6	5	250
57	3	8	940
58	6	5	450
59	2	10	50
60	6	10	510
61	2	4	960
62	2	8	260
63	6	10	800
64	6	9	420
65	4	1	670
66	6	3	170
67	2	10	650
68	2	1	390
69	7	5	350
70	2	4	80
71	1	10	560
72	4	5	70
73	5	1	760
74	6	10	20
75	2	7	650
76	3	1	770
77	6	10	220
78	1	8	170
79	6	6	630
80	2	1	680
81	7	10	500
82	5	5	160
83	5	5	650
84	5	6	920
85	5	8	710
86	1	6	770
87	3	8	450
88	6	5	150
89	6	2	750
90	6	4	350
91	6	4	550
92	2	7	360
93	6	5	350
94	4	3	660
95	3	8	250
96	5	6	930
97	2	4	180
98	3	10	50
99	6	5	920
100	5	5	550
101	1	7	270
102	5	7	440
103	3	4	560
104	7	6	150
105	1	5	80
106	2	4	180
107	7	5	150
108	4	1	860
109	6	3	170
110	7	4	160
111	4	3	370
112	3	3	470
113	4	4	950
114	1	8	70
115	6	9	320
116	6	9	900
117	7	5	920
118	3	9	50
119	6	6	50
120	5	9	520
121	2	1	90
122	4	3	560
123	5	5	930
124	4	2	570
125	7	1	460
126	1	2	490
127	3	7	350
128	4	6	840
129	4	4	560
130	7	10	310
131	1	7	870
132	5	7	630
133	4	4	370
134	2	1	980
135	1	10	70
136	5	3	170
137	6	10	700
138	6	6	920
139	3	2	190
140	4	5	940
141	3	7	850
142	1	3	390
143	6	9	230
144	4	1	950
145	3	4	950
146	2	8	160
147	1	5	580
148	5	7	150
149	3	3	770
150	7	4	260
151	7	1	930
152	1	1	790
153	7	7	430
154	6	1	180
155	1	5	970
156	1	2	390
157	6	8	610
158	7	5	910
159	5	3	270
160	7	2	550
161	2	6	860
162	4	4	950
163	2	1	880
164	4	4	360
165	2	10	550
166	4	10	240
167	6	10	800
168	3	3	470
169	4	6	840
170	3	3	280
171	4	5	70
172	5	9	230
173	3	5	950
174	1	7	570
175	7	10	500
176	3	4	950
177	1	3	590
178	3	3	80
179	2	10	750
180	7	2	360
181	2	3	280
182	3	8	740
183	5	8	720
184	3	1	380
185	6	8	40
186	5	7	630
187	7	4	550
188	7	8	900
189	6	7	720
190	7	2	550
191	2	7	760
192	5	10	610
193	1	5	180
194	7	10	120
195	7	7	810
196	7	4	450
197	7	7	330
198	6	9	20
199	5	2	950
200	6	6	820
